"Name","Version","Vendor","InstallDate"
"Microsoft .NET Runtime - 7.0.10 (x64)","56.43.64668","Microsoft Corporation","20230828"
"Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64)","7.0.49","Microsoft Corporation","20230828"
"Office 16 Click-to-Run Licensing Component","16.0.18129.20158","Microsoft Corporation","20241119"
"Office 16 Click-to-Run Extensibility Component","16.0.18129.20100","Microsoft Corporation","20241104"
"Microsoft .NET Targeting Pack - 7.0.10 (x64)","56.43.64668","Microsoft Corporation","20230828"
"Python 3.10.3 Utility Scripts (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"MongoDB Shell","2.3.4","MongoDB Inc.","20241129"
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)","24.0.28113","Microsoft Corporation","20230828"
"Windows Subsystem for Linux","2.3.24.0","Microsoft Corporation","20241109"
"MongoDB 8.0.3 2008R2Plus SSL (64 bit)","8.0.3","MongoDB Inc.","20241129"
"Microsoft Update Health Tools","5.71.0.0","Microsoft Corporation","20230907"
"Microsoft .NET AppHost Pack - 7.0.10 (x64_arm64)","56.43.64668","Microsoft Corporation","20230828"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.40.33810","14.40.33810","Microsoft Corporation","20240920"
"Application Verifier x64 External Package (DesktopEditions)","10.1.22621.1778","Microsoft","20230901"
"VS JIT Debugger","17.0.125.0","Microsoft Corporation","20230901"
"icecap_collection_x64","17.7.33905","Microsoft Corporation","20230901"
"Application Verifier x64 External Package (OnecoreUAP)","10.1.22621.1778","Microsoft","20230901"
"vs_minshellx64msi","17.7.33905","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20230922"
"Microsoft ASP.NET Core 7.0.10 Shared Framework (x64)","7.0.10.23364","Microsoft Corporation","20230828"
"VS Script Debugging Common","17.0.125.0","Microsoft Corporation","20230901"
"Java(TM) SE Development Kit 11.0.23 (64-bit)","11.0.23.0","Oracle Corporation","20241003"
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)","56.35.64642","Microsoft Corporation","20230828"
"Microsoft .NET Toolset 7.0.400 (x64)","28.6.43700","Microsoft Corporation","20230828"
"Windows SDK DirectX x64 Remote","10.1.22621.1778","Microsoft Corporation","20230901"
"Proton Drive","1.6.2","Proton AG","20240919"
"Python 3.10.3 Documentation (64-bit)","3.10.3150.0","Python Software Foundation","20240620"
"Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64)","33.0.4","Microsoft Corporation","20230828"
"vs_devenx64vmsi","17.7.33905","Microsoft Corporation","20230901"
"DiagnosticsHub_CollectionService","17.3.32601","Microsoft Corporation","20230901"
"AnyDesk","ad 8.0.10","AnyDesk Software GmbH",
"Arduino Cloud Agent","1.6.1","Arduino LLC","20241118"
"Visual Studio Community 2022","17.7.3","Microsoft Corporation","20230901"
"GNU Privacy Guard","2.4.5","The GnuPG Project",
"Google Chrome","131.0.6778.109","Google LLC","20241206"
"Gpg4win (4.3.1)","4.3.1","The Gpg4win Project",
"kdenlive","24.02.1","KDE e.V.",
"Microsoft Edge","132.0.2957.26","Microsoft Corporation","20241203"
"Microsoft Edge WebView2 Runtime","131.0.2903.70","Microsoft Corporation","20241127"
"Parsec","150-96a","Parsec Cloud Inc.",
"Proteus 8 Professional","8.13.31525.0","Labcenter Electronics","20231118"
"WPTx64 (DesktopEditions)","10.1.22621.1778","Microsoft","20230901"
"WinRT Intellisense UAP - Other Languages","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Microsoft .NET SDK 7.0.400 (x64)","7.4.23.36916","Microsoft Corporation",
"WinRT Intellisense PPI - Other Languages","10.1.22621.1778","Microsoft Corporation","20230901"
"Kits Configuration Installer","10.1.22621.1778","Microsoft","20230901"
"Windows SDK ARM Desktop Tools","10.1.22621.1778","Microsoft Corporation","20230901"
"Universal CRT Redistributable","10.1.22621.1778","Microsoft Corporation","20230901"
"vs_vswebprotocolselectormsi","17.7.33905","Microsoft Corporation","20230901"
"Windows Mobile Extension SDK Contracts","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Signing Tools","10.1.22621.1778","Microsoft Corporation","20230901"
"vs_CoreEditorFonts","17.7.40001","Microsoft Corporation","20230901"
"Windows SDK Desktop Headers arm64","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Headers x86","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK for Windows Store Apps Tools","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Redistributables","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual Studio Setup WMI Provider","3.7.2174.19405","Microsoft Corporation","20230901"
"vs_Graphics_Singletonx86","17.7.33906","Microsoft Corporation","20230901"
"Universal CRT Tools x86","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows Mobile Extension SDK","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Libs x64","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK for Windows Store Apps Contracts","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Headers arm","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Modern Non-Versioned Developer Tools","10.1.22621.1778","Microsoft Corporation","20230901"
"Universal General MIDI DLS Extension SDK","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK for Windows Store Apps Libs","10.1.22621.1778","Microsoft Corporation","20230901"
"icecap_collectionresourcesx64","17.7.33905","Microsoft Corporation","20230901"
"Windows SDK EULA","10.1.22621.1778","Microsoft Corporations","20230901"
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33130","14.38.33130.0","Microsoft Corporation",
"WinAppDeploy","10.1.22621.1778","Microsoft Corporation","20230901"
"Python Launcher","3.12.150.0","Python Software Foundation","20231124"
"Windows Team Extension SDK","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0","Microsoft Corporation",
"Windows SDK AddOn","10.1.0.0","Microsoft Corporation","20230901"
"Windows SDK","10.1.22621.1778","Microsoft Corporation","20230901"
"WinRT Intellisense Mobile - en-us","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Tools x64","10.1.22621.1778","Microsoft Corporation","20230901"
"SDK ARM Redistributables","10.1.22621.1778","Microsoft Corporation","20230901"
"WinRT Intellisense PPI - en-us","10.1.22621.1778","Microsoft Corporation","20230901"
"vs_filehandler_amd64","17.7.33905","Microsoft Corporation","20230901"
"Microsoft Visual Studio Setup Configuration","3.7.2174.19405","Microsoft Corporation","20230901"
"WinRT Intellisense UAP - en-us","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows Desktop Extension SDK Contracts","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Libs arm","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810","14.40.33810.0","Microsoft Corporation",
"vcpp_crt.redist.clickonce","14.36.32532","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20231124"
"Windows SDK for Windows Store Apps Headers","10.1.22621.1778","Microsoft Corporation","20230901"
"Universal CRT Extension SDK","10.1.22621.1778","Microsoft Corporation","20230901"
"MSI Development Tools","10.1.22621.1778","Microsoft Corporation","20230901"
"icecap_collectionresources","17.7.33906","Microsoft Corporation","20230901"
"Windows App Certification Kit x64 (OnecoreUAP)","10.1.22621.1778","Microsoft Corporation","20230901"
"Composer - PHP Dependency Manager",,"getcomposer.org","20240131"
"Teams Machine-Wide Installer","1.4.0.19572","Microsoft Corporation","20230828"
"Windows SDK DirectX x86 Remote","10.1.22621.1778","Microsoft Corporation","20230901"
"vs_filehandler_x86","17.7.33905","Microsoft Corporation","20230901"
"SDK ARM Additions","10.1.22621.1778","Microsoft Corporation","20230901"
"WPT Redistributables","10.1.22621.1778","Microsoft","20230901"
"vs_FileTracker_Singleton","17.7.33905","Microsoft Corporation","20230901"
"Windows SDK Desktop Headers x64","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230922"
"Windows App Certification Kit x64","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Facade Windows WinMD Versioned","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK for Windows Store Apps Metadata","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows Desktop Extension SDK","10.1.22621.1778","Microsoft Corporation","20230901"
"vs_githubprotocolhandlermsi","17.7.33905","Microsoft Corporation","20230901"
"icecap_collection_neutral","17.7.33906","Microsoft Corporation","20230901"
"Windows App Certification Kit SupportedApiList x86","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows IoT Extension SDK","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20231118"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0","Microsoft Corporation",
"Universal CRT Headers Libraries and Sources","10.1.22621.1778","Microsoft Corporation","20230901"
"WPTx64 (OnecoreUAP)","10.1.22621.1778","Microsoft","20230901"
"vs_communitymsires","17.7.33905","Microsoft Corporation","20230901"
"MTN 4G Mobile Hotspot","1.0.0.3","ZTE Corporation","20231030"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20230922"
"Windows Team Extension SDK Contracts","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Tools x86","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.36.32532","14.36.32532","Microsoft Corporation","20230901"
"Windows SDK for Windows Store Apps","10.1.22621.1778","Microsoft Corporation","20230901"
"WinRT Intellisense IoT - Other Languages","10.1.22621.1778","Microsoft Corporation","20230901"
"vs_devenvsharedmsi","17.7.33905","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20230922"
"vs_minshellsharedmsi","17.7.33905","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0","Microsoft Corporation",
"vs_tipsmsi","17.7.33905","Microsoft Corporation","20230901"
"Windows SDK Desktop Tools arm64","10.1.22621.1778","Microsoft Corporation","20230901"
"WinRT Intellisense Desktop - en-us","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","20230922"
"WinRT Intellisense IoT - en-us","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows Software Development Kit - Windows 10.0.22621.1778","10.1.22621.1778","Microsoft Corporation",
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.38.33130","14.38.33130","Microsoft Corporation","20231124"
"Windows SDK for Windows Store Managed Apps Libs","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Libs arm64","10.1.22621.1778","Microsoft Corporation","20230901"
"vs_communitysharedmsi","17.7.33906","Microsoft Corporation","20230901"
"Windows SDK Modern Versioned Developer Tools","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows IoT Extension SDK Contracts","10.1.22621.1778","Microsoft Corporation","20230901"
"Windows SDK Desktop Libs x86","10.1.22621.1778","Microsoft Corporation","20230901"
"WinRT Intellisense Desktop - Other Languages","10.1.22621.1778","Microsoft Corporation","20230901"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","20230922"
"Realtek High Definition Audio Driver","6.0.8924.1","Realtek Semiconductor Corp.",
"vs_minshellmsires","17.7.33905","Microsoft Corporation","20230901"
"vs_minshellinteropsharedmsi","17.7.33905","Microsoft Corporation","20230901"
"VS Immersive Activate Helper","17.0.125.0","Microsoft Corporation","20230901"
